_id,airline,flightNumber,origin,destination,daysOfWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,scheduledDepartureTime,scheduledArrivalTime,flightTime,flightTimeMinutes,rate,seatAvail
65e3679ccb66225971331578,IndiGo,848,Mumbai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,02:00,01:50,110,3740,180
65e3679ccb66225971331579,AirAsia India,330,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,02:15,02:05,125,4250,180
65e3679ccb6622597133157a,Jet Airways,304,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,02:25,02:15,135,4590,180
65e3679ccb6622597133157b,Jet Airways,3539,Pune,Patna,"Monday,Wednesday,Thursday",Y,N,Y,Y,N,N,N,00:10,02:30,02:20,140,4760,180
65e3679ccb6622597133157c,IndiGo,6065,Goa,Amritsar,Saturday,N,N,N,N,N,Y,N,00:10,04:10,04:00,240,1500,180
65e3679ccb6622597133157d,Air India,588,Kochi,Bengaluru,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Y,Y,N,Y,Y,Y,Y,00:15,01:15,01:00,60,2040,180
65e3679ccb6622597133157e,IndiGo,6236,Bengaluru,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Y,Y,Y,Y,Y,N,Y,00:15,01:35,01:20,80,2720,180
65e3679ccb6622597133157f,IndiGo,6236,Bengaluru,Goa,Saturday,N,N,N,N,N,Y,N,00:15,01:35,01:20,80,2720,180
65e3679ccb66225971331580,IndiGo,364,Thiruvananthapuram,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:15,01:35,01:20,80,2720,180
65e3679ccb66225971331581,IndiGo,5284,Mumbai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:15,02:00,01:45,105,3570,180
65e3679ccb66225971331582,Air India,3708,Port Blair,Kolkata,Thursday,N,N,N,Y,N,N,N,00:15,02:30,02:15,135,4590,180
65e3679ccb66225971331583,Jet Airways,356,Delhi,Mumbai,Thursday,N,N,N,Y,N,N,N,00:15,02:40,02:25,145,4930,180
65e3679ccb66225971331584,IndiGo,553,Pune,Kolkata,Saturday,N,N,N,N,N,Y,N,00:15,02:45,02:30,150,5100,180
65e3679ccb66225971331585,IndiGo,553,Pune,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:15,02:45,02:30,150,5100,180
65e3679ccb66225971331586,GoAir,293,Pune,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:15,03:00,02:45,165,5610,180
65e3679ccb66225971331587,IndiGo,672,Pune,Mangalore,Saturday,N,N,N,N,N,Y,N,00:20,01:20,01:00,60,2040,180
65e3679ccb66225971331588,IndiGo,6217,Chennai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:20,01:30,01:10,70,2380,180
65e3679ccb66225971331589,IndiGo,263,Hyderabad,Mumbai,Saturday,N,N,N,N,N,Y,N,00:20,01:50,01:30,90,3060,180
65e3679ccb6622597133158a,IndiGo,263,Hyderabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:20,01:50,01:30,90,3060,180
65e3679ccb6622597133158b,IndiGo,337,Kochi,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:20,02:05,01:45,105,3570,180
65e3679ccb6622597133158c,IndiGo,6094,Mumbai,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:20,02:10,01:50,110,3740,180
65e3679ccb6622597133158d,IndiGo,7274,Tiruchirappalli,Kochi,Tuesday,N,Y,N,N,N,N,N,00:25,01:30,01:05,65,2210,180
65e3679ccb6622597133158e,IndiGo,5221,Mumbai,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:25,01:35,01:10,70,2380,180
65e3679ccb6622597133158f,SpiceJet,612,Mumbai,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:25,01:50,01:25,85,2890,180
65e3679ccb66225971331590,AirAsia India,1424,Bengaluru,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:25,01:55,01:30,90,3060,180
65e3679ccb66225971331591,IndiGo,6489,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:25,02:40,02:15,135,4590,180
65e3679ccb66225971331592,IndiGo,116,Pune,Goa,Saturday,N,N,N,N,N,Y,N,00:30,01:30,01:00,60,2040,180
65e3679ccb66225971331593,IndiGo,116,Pune,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:30,01:30,01:00,60,2040,180
65e3679ccb66225971331594,IndiGo,6085,Mumbai,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:30,01:45,01:15,75,2550,180
65e3679ccb66225971331595,Air India,589,Bengaluru,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:30,02:35,02:05,125,4250,180
65e3679ccb66225971331596,GoAir,620,Mumbai,Kannur International Airport,Saturday,N,N,N,N,N,Y,N,00:30,02:45,02:15,135,4590,180
65e3679ccb66225971331597,SpiceJet,8189,Delhi,Pune,"Sunday,Wednesday,Friday,Saturday",N,N,Y,N,Y,Y,Y,00:30,02:45,02:15,135,4590,180
65e3679ccb66225971331598,IndiGo,6086,Mumbai,Kolkata,"Sunday,Tuesday,Thursday",N,Y,N,Y,N,N,Y,00:30,03:00,02:30,150,5100,180
65e3679ccb66225971331599,IndiGo,6489,Mumbai,Delhi,Saturday,N,N,N,N,N,Y,N,00:30,03:05,02:35,155,5270,180
65e3679ccb6622597133159a,SpiceJet,747,Pune,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:35,01:45,01:10,70,2380,180
65e3679ccb6622597133159b,GoAir,413,Ahmedabad,Mumbai,Saturday,N,N,N,N,N,Y,N,00:35,02:00,01:25,85,2890,180
65e3679ccb6622597133159c,GoAir,413,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:35,02:00,01:25,85,2890,180
65e3679ccb6622597133159d,GoAir,383,Mumbai,Kannur International Airport,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:35,02:25,01:50,110,3740,180
65e3679ccb6622597133159e,SpiceJet,490,Mumbai,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:35,03:15,02:40,160,5440,180
65e3679ccb6622597133159f,AirAsia India,1731,Kochi,Bengaluru,Monday,Y,N,N,N,N,N,N,00:40,01:50,01:10,70,2380,180
65e3679ccb662259713315a0,IndiGo,285,Hyderabad,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,01:50,01:10,70,2380,180
65e3679ccb662259713315a1,IndiGo,6406,Pune,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,02:15,01:35,95,3230,180
65e3679ccb662259713315a2,SpiceJet,789,Mumbai,Bengaluru,"Sunday,Wednesday,Thursday,Friday",N,N,Y,Y,Y,N,Y,00:40,02:20,01:40,100,3400,180
65e3679ccb662259713315a3,IndiGo,6406,Pune,Chennai,Saturday,N,N,N,N,N,Y,N,00:40,02:25,01:45,105,3570,180
65e3679ccb662259713315a4,IndiGo,6406,Pune,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,02:25,01:45,105,3570,180
65e3679ccb662259713315a5,IndiGo,338,Pune,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,02:50,02:10,130,4420,180
65e3679ccb662259713315a6,IndiGo,768,Jaipur,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,02:55,02:15,135,4590,180
65e3679ccb662259713315a7,IndiGo,6129,Bhubaneswar,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,03:00,02:20,140,4760,180
65e3679ccb662259713315a8,AirAsia India,319,Kolkata,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,14:35,13:55,835,1900,180
65e3679ccb662259713315a9,IndiGo,361,Pune,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:45,02:20,01:35,95,3230,180
65e3679ccb662259713315aa,AirAsia India,736,Pune,Delhi,"Sunday,Monday,Wednesday,Saturday",Y,N,Y,N,N,Y,Y,00:45,03:00,02:15,135,4590,180
65e3679ccb662259713315ab,IndiGo,6972,Patna,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:45,03:30,02:45,165,5610,180
65e3679ccb662259713315ac,IndiGo,6991,Bengaluru,Delhi,Saturday,N,N,N,N,N,Y,N,00:45,03:30,02:45,165,5610,180
65e3679ccb662259713315ad,AirAsia India,736,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:45,03:35,02:50,170,5780,180
65e3679ccb662259713315ae,IndiGo,359,Kochi,Thiruvananthapuram,"Sunday,Monday,Wednesday,Friday",Y,N,Y,N,Y,N,Y,00:50,01:35,00:45,45,1530,180
65e3679ccb662259713315af,IndiGo,617,Goa,Hyderabad,Saturday,N,N,N,N,N,Y,N,00:50,02:05,01:15,75,2550,180
65e3679ccb662259713315b0,IndiGo,617,Goa,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:50,02:05,01:15,75,2550,180
65e3679ccb662259713315b1,SpiceJet,6287,Mumbai,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:50,02:40,01:50,110,3740,180
65e3679ccb662259713315b2,SpiceJet,287,Mumbai,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:50,02:50,02:00,120,4080,180
65e3679ccb662259713315b3,AirAsia India,738,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:50,03:00,02:10,130,4420,180
65e3679ccb662259713315b4,IndiGo,6532,Goa,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:50,03:25,02:35,155,5270,180
65e3679ccb662259713315b5,IndiGo,5532,Goa,Delhi,Friday,N,N,N,N,Y,N,N,00:50,03:30,02:40,160,5440,180
65e3679ccb662259713315b6,SpiceJet,4024,Bengaluru,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:55,01:55,01:00,60,2040,180
65e3679ccb662259713315b7,IndiGo,6955,Goa,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:55,02:25,01:30,90,3060,180
65e3679ccb662259713315b8,IndiGo,837,Kochi,Delhi,Saturday,N,N,N,N,N,Y,N,00:55,04:10,03:15,195,6630,180
65e3679ccb662259713315b9,IndiGo,837,Kochi,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:55,04:10,03:15,195,6630,180
65e3679ccb662259713315ba,IndiGo,7168,Calicut,Kochi,Tuesday,N,Y,N,N,N,N,N,01:00,01:45,00:45,45,1530,180
65e3679ccb662259713315bb,IndiGo,7363,Kannur International Airport,Bengaluru,"Sunday,Monday",Y,N,N,N,N,N,Y,01:00,02:15,01:15,75,2550,180
65e3679ccb662259713315bc,IndiGo,7362,Kannur International Airport,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:00,02:15,01:15,75,2550,180
65e3679ccb662259713315bd,IndiGo,7973,Kannur International Airport,Bengaluru,"Sunday,Monday",Y,N,N,N,N,N,Y,01:00,02:15,01:15,75,2550,180
65e3679ccb662259713315be,IndiGo,6163,Goa,Coimbatore,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:00,02:20,01:20,80,2720,180
65e3679ccb662259713315bf,IndiGo,5384,Mumbai,Hyderabad,Monday,Y,N,N,N,N,N,N,01:00,02:25,01:25,85,2890,180
65e3679ccb662259713315c0,IndiGo,284,Pune,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:00,02:25,01:25,85,2890,180
65e3679ccb662259713315c1,IndiGo,284,Pune,MIHAN,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:00,02:25,01:25,85,2890,180
65e3679ccb662259713315c2,SpiceJet,788,Bengaluru,Mumbai,"Sunday,Wednesday,Thursday,Friday",N,N,Y,Y,Y,N,Y,01:00,02:50,01:50,110,3740,180
65e3679ccb662259713315c3,Air India,548,Coimbatore,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:00,04:10,03:10,190,6460,180
65e3679ccb662259713315c4,IndiGo,7973,Kannur International Airport,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:05,02:25,01:20,80,2720,180
65e3679ccb662259713315c5,GoAir,346,Mumbai,Delhi,"Sunday,Tuesday,Friday",N,Y,N,N,Y,N,Y,01:05,03:15,02:10,130,4420,180
65e3679ccb662259713315c6,IndiGo,363,Ahmedabad,Kolkata,Saturday,N,N,N,N,N,Y,N,01:05,03:35,02:30,150,5100,180
65e3679ccb662259713315c7,IndiGo,363,Ahmedabad,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:05,03:35,02:30,150,5100,180
65e3679ccb662259713315c8,SpiceJet,424,Bengaluru,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:10,02:40,01:30,90,3060,180
65e3679ccb662259713315c9,AirAsia India,308,Mumbai,Bengaluru,"Monday,Friday",Y,N,N,N,Y,N,N,01:10,03:00,01:50,110,3740,180
65e3679ccb662259713315ca,AirAsia India,308,Mumbai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:10,03:00,01:50,110,3740,180
65e3679ccb662259713315cb,IndiGo,2127,Kolkata,Delhi,Saturday,N,N,N,N,N,Y,N,01:10,03:25,02:15,135,4590,180
65e3679ccb662259713315cc,GoAir,394,Pune,Kolkata,Saturday,N,N,N,N,N,Y,N,01:10,03:35,02:25,145,4930,180
65e3679ccb662259713315cd,Vistara,802,Chennai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:10,09:00,07:50,470,,180
65e3679ccb662259713315ce,SpiceJet,523,Pune,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:15,02:15,01:00,60,2040,180
65e3679ccb662259713315cf,IndiGo,721,Pune,Indore,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:15,02:30,01:15,75,2550,180
65e3679ccb662259713315d0,IndiGo,206,Goa,Hyderabad,Saturday,N,N,N,N,N,Y,N,01:15,02:30,01:15,75,2550,180
65e3679ccb662259713315d1,IndiGo,6682,Bengaluru,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:15,02:40,01:25,85,2890,180
65e3679ccb662259713315d2,IndiGo,948,Goa,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:15,02:55,01:40,100,3400,180
65e3679ccb662259713315d3,Air India,884,Goa,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:15,03:40,02:25,145,4930,180
65e3679ccb662259713315d4,IndiGo,2127,Kolkata,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:15,03:45,02:30,150,5100,180
65e3679ccb662259713315d5,SpiceJet,9011,Bengaluru,Chennai,Saturday,N,N,N,N,N,Y,N,01:20,02:20,01:00,60,2040,180
65e3679ccb662259713315d6,AirAsia India,1459,Goa,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:20,02:30,01:10,70,2380,180
65e3679ccb662259713315d7,SpiceJet,444,Pune,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:20,03:05,01:45,105,3570,180
65e3679ccb662259713315d8,IndiGo,2125,Chennai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:20,04:10,02:50,170,5780,180
65e3679ccb662259713315d9,Vistara,510,Goa,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:20,16:20,15:00,900,3000,180
65e3679ccb662259713315da,AirAsia India,547,Kolkata,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:25,03:55,02:30,150,5100,180
65e3679ccb662259713315db,IndiGo,206,Goa,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:30,02:45,01:15,75,2550,180
65e3679ccb662259713315dc,Air India,638,Indore,Delhi,"Sunday,Tuesday,Friday",N,Y,N,N,Y,N,Y,01:30,02:55,01:25,85,2890,180
65e3679ccb662259713315dd,IndiGo,763,Nagpur,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:30,03:15,01:45,105,3570,180
65e3679ccb662259713315de,IndiGo,763,MIHAN,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:30,03:15,01:45,105,3570,180
65e3679ccb662259713315df,IndiGo,6698,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:30,03:15,01:45,105,3570,180
65e3679ccb662259713315e0,IndiGo,2127,Bhubaneswar,Delhi,Saturday,N,N,N,N,N,Y,N,01:30,04:05,02:35,155,5270,180
65e3679ccb662259713315e1,IndiGo,2127,Bhubaneswar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:30,04:05,02:35,155,5270,180
65e3679ccb662259713315e2,IndiGo,2135,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:30,04:15,02:45,165,5610,180
65e3679ccb662259713315e3,AirAsia India,736,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:35,03:40,02:05,125,4250,180
65e3679ccb662259713315e4,GoAir,394,Pune,Kolkata,"Sunday,Tuesday,Thursday",N,Y,N,Y,N,N,Y,01:35,04:00,02:25,145,4930,180
65e3679ccb662259713315e5,IndiGo,6682,Goa,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:40,02:40,01:00,60,2040,180
65e3679ccb662259713315e6,IndiGo,6476,Varanasi,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:40,03:50,02:10,130,4420,180
65e3679ccb662259713315e7,IndiGo,2135,Bengaluru,Delhi,Tuesday,N,Y,N,N,N,N,N,01:40,04:25,02:45,165,5610,180
65e3679ccb662259713315e8,IndiGo,2135,Bengaluru,Delhi,Saturday,N,N,N,N,N,Y,N,01:40,04:25,02:45,165,5610,180
65e3679ccb662259713315e9,IndiGo,2135,Bengaluru,Delhi,"Sunday,Monday,Wednesday,Thursday,Friday",Y,N,Y,Y,Y,N,Y,01:40,04:25,02:45,165,5610,180
65e3679ccb662259713315ea,IndiGo,6162,Coimbatore,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:45,03:05,01:20,80,2720,180
65e3679ccb662259713315eb,IndiGo,6128,Kolkata,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:45,04:50,03:05,185,6290,180
65e3679ccb662259713315ec,IndiGo,117,Goa,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:50,03:00,01:10,70,2380,180
65e3679ccb662259713315ed,IndiGo,242,Kochi,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:50,03:40,01:50,110,3740,180
